time;P_int
0;0
60;0
120;0
180;0
240;0
300;0
360;2.4
420;0.6
480;0
540;0
600;0
660;0
720;0
780;0
840;0
900;0
960;0
1020;0
1080;0
1140;0
1200;0
1260;0
1320;0
1380;0
1440;0
1500;0
1560;0
1620;0
1680;0
1740;0
1800;0
1860;0
1920;0
1980;0
2040;0
2100;0
2160;0
2220;0
2280;0
2340;0
2400;0
2460;0
2520;0
2580;0
2640;0
2700;0
2760;0
2820;0
2880;3
2940;1.8
3000;0
3060;3
3120;1.8
3180;2.4
3240;2.4
3300;2.4
3360;1.8
3420;1.8
3480;1.2
3540;0
3600;0
3660;0
3720;1.8
3780;0
3840;0
3900;3.6
3960;28.8
4020;26.4
4080;24
4140;40.2
4200;12.6
4260;4.2
4320;4.2
4380;3.6
4440;1.8
4500;1.2
4560;0
4620;2.4
4680;0.6
4740;0
4800;2.4
4860;2.4
4920;3
4980;3.6
5040;2.4
5100;2.4
5160;1.2
5220;0
5280;3.6
5340;1.2
5400;1.8
5460;3
5520;3.6
5580;3.6
5640;3.6
5700;3.6
5760;3.6
5820;3
5880;3.6
5940;2.4
6000;4.2
6060;4.2
6120;2.4
6180;2.4
6240;2.4
6300;1.8
6360;2.4
6420;1.2
6480;0
6540;0
6600;3
6660;1.2
6720;0
6780;3
6840;1.2
6900;0
6960;0
7020;0
7080;0
7140;0
7200;0
7260;0
7320;0
7380;0
7440;0
7500;0
7560;0
7620;0
7680;0
7740;0
7800;0
7860;0
7920;0
7980;0
8040;0
8100;0
8160;0
8220;0
8280;0
8340;0
8400;0
8460;0
8520;0
8580;0
8640;0
8700;0
8760;0
8820;0
8880;0
8940;0
9000;0
9060;0
9120;0
9180;0
9240;0
9300;0
9360;0
9420;0
9480;0
9540;0
9600;0
9660;0
9720;0
9780;0
9840;0
9900;0
9960;0
10020;0
10080;0
10140;0
10200;0
10260;0
10320;0
10380;0
10440;0
10500;0
10560;0
10620;0
10680;0
10740;0
10800;0
10860;0
10920;0
10980;0
11040;0
11100;0
11160;0
11220;0
11280;0
11340;0
11400;0
11460;0
11520;0
11580;0
11640;0
11700;0
11760;0
11820;0
11880;0
11940;0
12000;0
12060;0
12120;0
12180;0
12240;0
12300;0
12360;0
12420;0
12480;0
12540;0
12600;0
12660;0
12720;0
12780;0
12840;0
12900;0
12960;0
13020;0
13080;0
13140;0
13200;0
13260;0
13320;0
13380;0
13440;0
13500;0
13560;0
13620;0
13680;0
13740;0
13800;0
13860;0
13920;0
